	"lang"
{
	"Language"		"Russian"
		"android_pocket_factory_building1"	"Мини-Завод"
		"android_pocket_factory_building2"	"Мини-Завод"
		"android_pocket_factory_building3"	"Мини-Завод"

		"keeper_of_the_grove_treant_1"	"Энт"
		"keeper_of_the_grove_treant_2"	"Энт"
		"keeper_of_the_grove_treant_3"	"Энт"
		"keeper_of_the_grove_young_treant"	"Молодой Энт"
		"keeper_of_the_grove_guardian_spirit" "Дух-Защитник"

		"butcher_zombie_1" 	"Зомби"
		"butcher_zombie_2" 	"Зомби"
		"butcher_zombie_3" 	"Зомби"

		"npc_water_elemental_1"	"Дух Воды"
		"npc_water_elemental_2"	"Дух Воды"
		"npc_water_elemental_3"	"Дух Воды"
		"npc_water_elemental_4"	"Дух Воды"

		"item_lia_healing_ward_unit"	"Дух-Целитель"

		"queen_of_spiders_spider_1" "Слабый Паук"
		"queen_of_spiders_spider_2" "Сильный Паук"
		"queen_of_spiders_spider_3" "Паук-Воин"

		"spirit_of_the_plains1" "Дух Равнин"
		"spirit_of_the_plains2" "Дух Равнин"
		"spirit_of_the_plains3" "Дух Равнин"

		"ghost_1" "Призрак"
		"ghost_2" "Призрак"
		"ghost_3" "Призрак"
		"ghost_4" "Призрак"

		"firelord_lava_spawn1"	"Дух Огня"
		"firelord_lava_spawn2"	"Дух Огня"
		"firelord_lava_spawn3"	"Дух Огня"

		"npc_serpent_ward_1"	"Огненная Змея"
		"npc_serpent_ward_2"	"Огненная Змея"
		"npc_serpent_ward_3"	"Огненная Змея"
		"npc_serpent_ward_4"	"Огненная Змея"

		"fire_trap_unit"	"Огненная Ловушка"

		"necromancer_skeleton1" "Мертвец"
		"necromancer_skeleton2" "Мертвец"
		"necromancer_skeleton3" "Мертвец"
		"necromancer_skeleton4" "Мертвец"

		"shadow_master_shadow"	"Тень"

		"arena_rock" "Камень"
		"arena_rock_2" "Камень"
		"arena_rock_3" "Камень"
		"arena_rock_4" "Камень"
		"arena_rock_5" "Камень"
		"arena_center_box" "Коробка"
		"barricades"	"Баррикады"
		"barricades_small" "Баррикады"
		"barricades_big" "Баррикады"
		"npc_dota_creature_barrel" "Бочка"
		"small_barrel"	"Бочка"
		"small_barrel_side"	"Бочка"
		"big_barrel"	"Бочка"
		"tnt_barrel" "Бочка со Взрывчаткой"

		"npc_dota_hero_slardar"	"Нага-Гвардеец"
		"npc_dota_hero_huskar"	"Берсеркер"
		"npc_dota_hero_brewmaster"	"Пивовар"
		"npc_dota_hero_chaos_knight"	"Генерал"
		"npc_dota_hero_tiny"	"Голем"
		"npc_dota_hero_elder_titan"	"Вождь Минотавров"	
		"npc_dota_hero_phantom_assassin"	"Валькирия"
		"npc_dota_hero_axe"	"Вождь Орков"
		"npc_dota_hero_broodmother"	"Королева Пауков"
		"npc_dota_hero_pudge"	"Мясник"
		"npc_dota_hero_nevermore"	"Сотканный из Крови"
		"npc_dota_hero_pugna"	"Скелет-Маг"
		"npc_dota_hero_night_stalker"	"Воин Плети"
		"npc_dota_hero_skeleton_king"	"Король Вор"
		"npc_dota_hero_omniknight"	"Воин Света"
		"npc_dota_hero_tusk"	"Горец"
		"npc_dota_hero_naga_siren"	"Нага-Сирена"
		"npc_dota_hero_antimage"	"Пират"
		"npc_dota_hero_bloodseeker"	"Шаман"
		"npc_dota_hero_chen"	"Святой Рыцарь"
		"npc_dota_hero_lion"	"Колдун"
		"npc_dota_hero_slark"	"Морлок"
		"npc_dota_hero_luna"	"Охотница"
		"npc_dota_hero_warlock"	"Повелитель Земли"
		"npc_dota_hero_spirit_breaker"	"Повелитель Времени"
		"npc_dota_hero_lich"	"Повелитель Холода"
		"npc_dota_hero_bane"	"Пустынник"
		"npc_dota_hero_invoker"	"Повелитель Огня"
		"npc_dota_hero_shadow_shaman"	"Знахарь"
		"npc_dota_hero_mirana"	"Древняя Жрица"
		"npc_dota_hero_silencer"	"Странник"
		"npc_dota_hero_leshrac"	"Хранитель Рощи"	
		"npc_dota_hero_terrorblade"	"Мастер Теней"
		"npc_dota_hero_lycan"	"Вампир"
		"npc_dota_hero_dragon_knight"	"Рыцарь"
		"npc_dota_hero_beastmaster"	"Повелитель Зверей"
		"npc_dota_hero_life_stealer"	"Вурдалак"		
		"npc_dota_hero_shredder"	"Андроид"
		"npc_dota_hero_medusa"	"Королева Змей"
		"npc_dota_hero_drow_ranger"	"Темная Лучница"
		"npc_dota_hero_abaddon"	"Темный Рыцарь"
		"npc_dota_hero_disruptor"	"Владыка Молний"
		"npc_dota_hero_nyx_assassin"	"Падший Воитель"
		"npc_dota_hero_arc_warden"	"Иллюзионист"
		"npc_dota_hero_abyssal_underlord"	"Некромант"
		"npc_dota_hero_troll_warlord"	"Тролль-Головорез"
		"npc_dota_hero_keeper_of_the_light"	"Архимаг"
		"npc_dota_hero_shadow_demon"	"Демонолог"
		"npc_dota_hero_earthshaker"	"Минотавр-Чемпион"
		"npc_dota_hero_treant" "Энт-Защитник"
		"npc_dota_hero_alchemist" "Алхимик"
		"npc_dota_hero_undying" "Ходячий Мертвец"

		"orn_megaboss"	"Орн"	
		"orn_mutant"	"Мутант"
		
		"victory_message"   "Вы победили!"
 		"lose_message"   "Вы проиграли"
		
		"lia_hud_error_heal_potion_full_hp"	"Герой абсолютно здоров"
		"lia_hud_error_mana_potion_full_mana"	"Запас маны полон"
		"lia_hud_error_cant_have_two_divine_armor" "Нельзя носить более одного экземпляра Доспехов Бога"
		"error_must_target_mana_unit" "Нельзя применять на воинах без маны"
		"lia_hud_error_target_at_full_health"	"Цель абсолютно здорова"

		"DOTA_Tooltip_Ability_item_lia_rune_of_healing"	"Руна Исцеления"
		"DOTA_Tooltip_Ability_item_lia_rune_of_mana"	"Руна Маны"
		"DOTA_Tooltip_Ability_item_lia_rune_of_restoration"	"Руна Восстановления"
		"DOTA_Tooltip_Ability_item_lia_rune_of_speed"	"Руна Скорости"
		"DOTA_Tooltip_Ability_item_lia_rune_of_strength"	"Руна Силы"
		"DOTA_Tooltip_Ability_item_lia_rune_of_agility"	"Руна Ловкости"
		"DOTA_Tooltip_Ability_item_lia_rune_of_intellect"	"Руна Интеллекта"
		"DOTA_Tooltip_Ability_item_lia_rune_gold"			"Монетка"
		"DOTA_Tooltip_Ability_item_lia_rune_lumber"			"Дерево"
		"DOTA_Tooltip_Ability_item_lia_rune_of_lifesteal"	"Руна Вампиризма"
		"DOTA_Tooltip_Ability_item_lia_rune_of_luck"		"Руна Удачи"
		"DOTA_Tooltip_Ability_item_lia_rune_of_protection"		"Руна Защиты"

		"DOTA_Tooltip_modifier_16_wave_debuff"  "Присутствие Орна"
		"DOTA_Tooltip_modifier_16_wave_debuff_Description"  "Этот герой теряет 50 единиц здоровья каждую секунду."

		"DOTA_Tooltip_modifier_17_wave_debuff"  "Присутствие Орна"
		"DOTA_Tooltip_modifier_17_wave_debuff_Description"  "Этот герой теряет 50 единиц здоровья и 30 единиц маны каждую секунду."

		"DOTA_Tooltip_modifier_18_wave_debuff"  "Присутствие Орна"
		"DOTA_Tooltip_modifier_18_wave_debuff_Description"  "Этот герой теряет 50 единиц здоровья и 30 единиц маны каждую секунду. Он также получает 100 единиц урона за каждого убитого врага."

		"DOTA_Tooltip_modifier_19_wave_debuff"  "Присутствие Орна"
		"DOTA_Tooltip_modifier_19_wave_debuff_Description"  "Этот герой теряет 50 единиц здоровья и 30 единиц маны каждую секунду. Он также получает 100 единиц урона за каждого убитого врага и 300 единиц урона за произнесенное заклинание."

		"DOTA_Tooltip_ability_barrel_invulnerability"  "Неуязвимость"
		"DOTA_Tooltip_ability_barrel_invulnerability_Description"  "Бочку нельзя взорвать, если осталось более двух живых героев."

		
		"DOTA_Tooltip_ability_1_wave_stomp"  "Удар по Земле"
		"DOTA_Tooltip_ability_1_wave_stomp_Description"  "Мощный удар по земле, наносящий всем застигнутым противникам урон, а также снижающий их скорость перемещения и боя."
		"DOTA_Tooltip_ability_1_wave_stomp_damage"  "УРОН:"
		"DOTA_Tooltip_ability_1_wave_stomp_slow_tooltip"  "%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_1_wave_stomp_slow_movement_and_attack_speed"  "ЗАМЕДЛЕНИЕ АТАКИ:"
		"DOTA_Tooltip_ability_1_wave_stomp_radius"  "РАДИУС:"
		"DOTA_Tooltip_ability_1_wave_stomp_duration"  "ДЛИТЕЛЬНОСТЬ:"

		"DOTA_Tooltip_ability_1_wave_stomp_extreme"  "Удар по Земле"
		"DOTA_Tooltip_ability_1_wave_stomp_extreme_Description"  "Мощный удар по земле, наносящий всем застигнутым противникам урон, а также снижающий их скорость перемещения и боя."
		"DOTA_Tooltip_ability_1_wave_stomp_extreme_damage"  "УРОН:"
		"DOTA_Tooltip_ability_1_wave_stomp_extreme_slow_tooltip"  "%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_1_wave_stomp_extreme_slow_movement_and_attack_speed"  "ЗАМЕДЛЕНИЕ АТАКИ:"
		"DOTA_Tooltip_ability_1_wave_stomp_extreme_radius"  "РАДИУС:"
		"DOTA_Tooltip_ability_1_wave_stomp_extreme_duration"  "ДЛИТЕЛЬНОСТЬ:"

		"DOTA_Tooltip_1_wave_stomp"  "Удар по Земле"
		"DOTA_Tooltip_1_wave_stomp_Description" "Этот воин замедлен."

		"DOTA_Tooltip_ability_wave_1_poison_extreme"  "Яд"
		"DOTA_Tooltip_ability_wave_1_poison_extreme_Description"	"Атака кобольда замедляет скорость передвижения и атаки противника. На время замедления цель атаки получает ежесекундный урон."
		"DOTA_Tooltip_ability_wave_1_poison_extreme_movement_slow" "%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_wave_1_poison_extreme_attack_slow" "ЗАМЕДЛЕНИЕ АТАКИ:"
		"DOTA_Tooltip_ability_wave_1_poison_extreme_damage_per_second" "УРОН В СЕКУНДУ:"
		"DOTA_Tooltip_ability_wave_1_poison_extreme_duration" "ДЛИТЕЛЬНОСТЬ:"
		
		"DOTA_Tooltip_modifier_wave_1_poison_extreme_debuff"  "Яд"
		"DOTA_Tooltip_modifier_wave_1_poison_extreme_debuff_Description"	"Скорость передвижения и атаки этого юнита снижена, и он получает ежесекундный урон."

		"DOTA_Tooltip_ability_wave_1_poison"  "Яд"
		"DOTA_Tooltip_ability_wave_1_poison_Description"	"Атака кобольда замедляет скорость передвижения и атаки противника."
		"DOTA_Tooltip_ability_wave_1_poison_movement_slow" "%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_wave_1_poison_attack_slow" "ЗАМЕДЛЕНИЕ АТАКИ:"
		"DOTA_Tooltip_ability_wave_1_poison_duration" "ДЛИТЕЛЬНОСТЬ:"
		
		"DOTA_Tooltip_modifier_wave_1_poison_debuff"  "Яд"
		"DOTA_Tooltip_modifier_wave_1_poison_debuff_Description"	"Скорость передвижения и атаки этого юнита снижена, и он получает ежесекундный урон."

		"DOTA_Tooltip_ability_wave_2_aura_of_vengeance"  "Аура Возмездия"
		"DOTA_Tooltip_ability_wave_2_aura_of_vengeance_Description"  "Противнику, попытавшемуся атаковать любое дружественное существо рядом с обладателем этой ауры, возвращается часть нанесенного урона."
		"DOTA_Tooltip_ability_wave_2_aura_of_vengeance_damage_return"  "%ВОЗВРАТ УРОНА:"
		"DOTA_Tooltip_ability_wave_2_aura_of_vengeance_radius"  "РАДИУС ДЕЙСТВИЯ:"

		"DOTA_Tooltip_ability_wave_2_aura_of_vengeance_extreme"  "Аура Возмездия"
		"DOTA_Tooltip_ability_wave_2_aura_of_vengeance_extreme_Description"  "Противнику, попытавшемуся атаковать любое дружественное существо рядом с обладателем этой ауры, возвращается часть нанесенного урона."
		"DOTA_Tooltip_ability_wave_2_aura_of_vengeance_extreme_damage_return"  "%ВОЗВРАТ УРОНА:"
		"DOTA_Tooltip_ability_wave_2_aura_of_vengeance_extreme_radius"  "РАДИУС ДЕЙСТВИЯ:"

		"DOTA_Tooltip_modifier_wave_2_aura_of_vengeance_aura"  "Аура Возмездия"
		"DOTA_Tooltip_modifier_wave_2_aura_of_vengeance_aura_Description"	"Этот воин возвращает урон противникам."

		"DOTA_Tooltip_ability_wave_2_centaurs_revenge_extreme"  "Месть Кентавров"
		"DOTA_Tooltip_ability_wave_2_centaurs_revenge_extreme_Description"  "Противнику, попытавшемуся атаковать кентавра, возвращается %damage_return%%  нанесенного урона."

		"DOTA_Tooltip_ability_wave_2_centaurs_revenge"  "Месть Кентавров"
		"DOTA_Tooltip_ability_wave_2_centaurs_revenge_Description"  "Противнику, попытавшемуся атаковать кентавра, возвращается %damage_return%%  нанесенного урона."

		"DOTA_Tooltip_modifier_wave_2_cenraurs_revenge"  "Месть Кентавров"
		"DOTA_Tooltip_modifier_wave_2_cenraurs_revenge_Description"	"Этот воин возвращает урон противникам."

		"DOTA_Tooltip_ability_2_wave_centaur_chieftain_aura"  "Аура Вождя Кентавров"
		"DOTA_Tooltip_ability_2_wave_centaur_chieftain_aura_Description"  "Вождь Кентавров увеличивает скорость передвижения своих союзников на %bonus_movement_speed_percentage%% и скорость атаки на %bonus_attack_speed%. Радиус действия: %radius%."

		"DOTA_Tooltip_ability_2_wave_centaur_chieftain_aura_extreme"  "Аура Вождя Кентавров"
		"DOTA_Tooltip_ability_2_wave_centaur_chieftain_aura_extreme_Description"  "Вождь Кентавров увеличивает скорость передвижения своих союзников на %bonus_movement_speed_percentage%% и скорость атаки на %bonus_attack_speed%. Радиус действия: %radius%."

		"DOTA_Tooltip_modifier_2_wave_centaur_chieftain_aura_buff"  "Аура Вождя Кентавров"
		"DOTA_Tooltip_modifier_2_wave_centaur_chieftain_aura_buff_Description" "Скорость атаки и передвижения увеличена."

		"DOTA_Tooltip_ability_second_wave_wave_of_force"  "Волна Силы"
		"DOTA_Tooltip_ability_second_wave_wave_of_force_Description"  "Вождь Кентавров посылает вперед ударную волну, нанося врагам по линии урон в размере %max_health_damage%% от их максимального здоровья."

		"DOTA_Tooltip_ability_second_wave_wave_of_force_extreme"  "Волна Силы"
		"DOTA_Tooltip_ability_second_wave_wave_of_force_extreme_Description"  "Вождь Кентавров посылает вперед ударную волну, нанося врагам по линии урон в размере %max_health_damage%% от их максимального здоровья."

		"DOTA_Tooltip_ability_2_wave_war_stomp_extreme"	"Топот"
		"DOTA_Tooltip_ability_2_wave_war_stomp_extreme_Description"	"Сотрясает землю, оглушая противников в радиусе %radius% на %stun_duration% секунды и нанося им %damage% урона."

		"DOTA_Tooltip_ability_wave_3_evasion"  "Уворот"
		"DOTA_Tooltip_ability_wave_3_evasion_Description"  "Даёт шанс уклониться от атаки противника."
		"DOTA_Tooltip_ability_wave_3_evasion_evasion"  "+$evasion"

		"DOTA_Tooltip_ability_wave_3_evasion_extreme"  "Уворот"
		"DOTA_Tooltip_ability_wave_3_evasion_extreme_Description"  "Даёт шанс уклониться от атаки противника."
		"DOTA_Tooltip_ability_wave_3_evasion_extreme_evasion"  "+$evasion"
		
		"DOTA_Tooltip_ability_spell_immunity"  "Иммунитет к Магии"
		"DOTA_Tooltip_ability_spell_immunity_Description"  "Невосприимчивость к любым заклинаниям."

		"DOTA_Tooltip_ability_3_wave_rejuvenation"  "Омоложение"
		"DOTA_Tooltip_ability_3_wave_rejuvenation_Description"  "Восстанавливает %heal_tooltip% единиц здоровья за %duration% секунд."

		"DOTA_Tooltip_3_wave_rejuvenation"  "Омоложение"
		"DOTA_Tooltip_3_wave_rejuvenation_Description"  "Здоровье этого юнита восстанавливается."

		"DOTA_Tooltip_ability_3_wave_rejuvenation_extreme"  "Омоложение"
		"DOTA_Tooltip_ability_3_wave_rejuvenation_extreme_Description"  "Восстанавливает %heal_tooltip% единиц здоровья за %duration% секунд."

		"DOTA_Tooltip_3_wave_rejuvenation_extreme"  "Омоложение"
		"DOTA_Tooltip_3_wave_rejuvenation_extreme_Description"  "Здоровье этого юнита восстанавливается."

		"DOTA_Tooltip_ability_4_wave_death_coil"  "Лик Смерти"
		"DOTA_Tooltip_ability_4_wave_death_coil_Description"  "Наносит %damage% единиц урона враждебному существу."

		"DOTA_Tooltip_ability_4_wave_ensnare_extreme"  "Ловчий"
		"DOTA_Tooltip_ability_4_wave_ensnare_extreme_Description"  "Темный Тролль кидает сеть во врага, обездвиживая его, однако не запрещая атаковать и произносить заклинания. Длится %duration% секунд на героях и %creep_duration% секунд на крипах."

		"DOTA_Tooltip_modifier_4_wave_ensnare_extreme"  "Ловчий"
		"DOTA_Tooltip_modifier_4_wave_ensnare_extreme_Description" "Этот юнит не может двигаться."

		"DOTA_Tooltip_ability_4_wave_true_hit"  "Меткий Бросок"
		"DOTA_Tooltip_ability_4_wave_true_hit_Description"  "Атаки Тролля имеют шанс в %strike_chance%% нанести дополнительно %damage% единиц урона. Такие атаки попадают точно в цель."

		"DOTA_Tooltip_ability_4_wave_true_hit_extreme"  "Меткий Бросок"
		"DOTA_Tooltip_ability_4_wave_true_hit_extreme_Description"  "Атаки Тролля имеют шанс в %strike_chance%% нанести дополнительно %damage% единиц урона. Такие атаки попадают точно в цель."

		"DOTA_Tooltip_ability_true_sight"  "Ясновидение"
		"DOTA_Tooltip_ability_true_sight_Description"	"Раскрывает всех невидимых противников в радиусе 1100."

		"DOTA_Tooltip_ability_5_megaboss_firestorm"  "Огненный Дождь"
		"DOTA_Tooltip_ability_5_megaboss_firestorm_Description" "На указанную область обрушивается несколько раскаленных камней. Каждая волна наносит 200 единиц урона, после чего цель получает еще 100 единиц урона в секунду в течение 3 секунд."

		"DOTA_Tooltip_modifier_rain_of_fire_burn"  "Огненный Дождь"
		"DOTA_Tooltip_modifier_rain_of_fire_burn_Description" "Этот воин получает ежесекундный урон."

		"DOTA_Tooltip_ability_5_megaboss_stomp"  "Громовая Поступь"
		"DOTA_Tooltip_ability_5_megaboss_stomp_Description"  "Мощный удар по земле, оглушающий противников и наносящий им урон."
		"DOTA_Tooltip_ability_5_megaboss_stomp_stomp_damage"  "УРОН:"
		"DOTA_Tooltip_ability_5_megaboss_stomp_radius"  "РАДИУС:"
		"DOTA_Tooltip_ability_5_megaboss_stomp_stun_duration"  "ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"

		"DOTA_Tooltip_ability_megaboss_5_bash"  "Сильный Удар"
		"DOTA_Tooltip_ability_megaboss_5_bash_Description" "Есть шанс в %bash_chance%%  нанести при атаке %bash_damage% единиц урона и оглушить на %bash_duration% секунды."

		"DOTA_Tooltip_ability_megaboss_5_crit"  "Смертельный Удар"
		"DOTA_Tooltip_ability_megaboss_5_crit_Description"	"Дает шанс в %crit_chance%%  нанести больше урона при атаке."
		"DOTA_Tooltip_ability_megaboss_5_crit_crit_multiplier"	"%КРИТИЧЕСКИЙ УРОН:"	

		"DOTA_Tooltip_ability_6_wave_spell_resist"  "Сопротивление магии"
